sep=,
//Automation Builder IO Mappings Export V1.0
//Important: change only first and fourth column in Excel
*Variable,Channel name,Data type,*Description,Terminal,Device name,Device type,Device path,Parameter ID,Device Guid,
qHornGround,Digital output C19,BOOL,-A1_5:4.3 C19 : =S1+A-K24 Horn at Ground Level,="4.3",S1AA1_5,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8002.Digital_Output_C19,00a00840-7abf-4c03-ac17-df5669349c0d,
qIdleModeSupplyDrives,Digital output C20,BOOL,-A1_5:4.4 C20 : =S1+A-K2M Idle Mode Supply Drives,="4.4",S1AA1_5,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8002.Digital_Output_C20,00a00840-7abf-4c03-ac17-df5669349c0d,
qMainDieselStop,Digital output C21,BOOL,-A1_5:4.5 C21 : =S1+A-K10 Main Diesel Stop,="4.5",S1AA1_5,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8002.Digital_Output_C21,00a00840-7abf-4c03-ac17-df5669349c0d,
qTwistlockCounter,Digital output C22,BOOL,-A1_5:4.6 C22 : =S1+C-P1C Twistlock counter,="4.6",S1AA1_5,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8002.Digital_Output_C22,00a00840-7abf-4c03-ac17-df5669349c0d,
qStart_HW_WD_Relay,Digital output C23,BOOL,-A1_5:4.7 C23 : =S1+A-K20T Start Hardware Watchdog relay,="4.7",S1AA1_5,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8002.Digital_Output_C23,00a00840-7abf-4c03-ac17-df5669349c0d,
//S1AA1_6 (AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1)
,Digital inputs C0 - C7,BYTE,,,S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C0,BOOL,,="2.0",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C0,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C1,BOOL,,="2.1",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C1,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C2,BOOL,,="2.2",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C2,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C3,BOOL,,="2.3",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C3,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C4,BOOL,,="2.4",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C4,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C5,BOOL,,="2.5",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C5,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C6,BOOL,,="2.6",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C6,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C7,BOOL,,="2.7",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C7,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital inputs C8 - C15,BYTE,,,S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C8,BOOL,,="3.0",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C8,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C9,BOOL,,="3.1",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C9,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C10,BOOL,,="3.2",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C10,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C11,BOOL,,="3.3",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C11,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C12,BOOL,,="3.4",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C12,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C13,BOOL,,="3.5",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C13,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C14,BOOL,,="3.6",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C14,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C15,BOOL,,="3.7",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C15,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital inputs C16 - C23,BYTE,,,S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C16,BOOL,,="4.0",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C16,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C17,BOOL,,="4.1",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C17,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C18,BOOL,,="4.2",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C18,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C19,BOOL,,="4.3",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C19,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C20,BOOL,,="4.4",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C20,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C21,BOOL,,="4.5",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C21,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C22,BOOL,,="4.6",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C22,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital input C23,BOOL,,="4.7",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C23,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital outputs C0 - C7,BYTE,,,S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital output C0,BOOL,,="2.0",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C0,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital output C1,BOOL,,="2.1",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C1,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital output C2,BOOL,,="2.2",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C2,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital output C3,BOOL,,="2.3",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C3,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital output C4,BOOL,,="2.4",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C4,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital output C5,BOOL,,="2.5",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C5,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital output C6,BOOL,,="2.6",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C6,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital output C7,BOOL,,="2.7",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C7,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital outputs C8 - C15,BYTE,,,S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8001,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qFU2_Terminal32,Digital output C8,BOOL,-A1_6:3.0  C8 : =S1+F-U2 Travel 2 FC Terminal 32,="3.0",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8001.Digital_Output_C8,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qFU1_Terminal33,Digital output C9,BOOL,-A1_6:3.1  C9 : =S1+F-U1 Travel 1 FC Terminal 33,="3.1",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8001.Digital_Output_C9,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qKU1_Terminal29,Digital output C10,BOOL,-A1_6:3.2 C10 : =S1+K-U1 Trolley FC Terminal 29,="3.2",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8001.Digital_Output_C10,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qTrolleyForward,Digital output C11,BOOL,-A1_6:3.3 C11 : =S1+K-U1 TROLLEY FORWARD,="3.3",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8001.Digital_Output_C11,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qFU1_Terminal32,Digital output C12,BOOL,-A1_6:3.4 C12 : =S1+F-U1 Travel 1 FC Terminal 32,="3.4",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8001.Digital_Output_C12,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qKU1_Terminal27,Digital output C13,BOOL,-A1_6:3.5 C13 : =S1+K-U1 Trolley FC Terminal 27,="3.5",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8001.Digital_Output_C13,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qTrolleyReverse,Digital output C14,BOOL,-A1_6:3.6 C14 : =S1+K-U1 TROLLEY REVERSE,="3.6",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8001.Digital_Output_C14,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qFC_TrolleyIGBT_Release,Digital output C15,BOOL,-A1_6:3.7 C15 : =S1+K-U1 Trolley FC IGBT Release,="3.7",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8001.Digital_Output_C15,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
,Digital outputs C16 - C23,BYTE,,,S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8002,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qKU1_Terminal32,Digital output C16,BOOL,-A1_6:4.0 C16 : =S1+K-U1 Trolley FC Terminal 32,="4.0",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8002.Digital_Output_C16,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qTravel2Right,Digital output C17,BOOL,-A1_6:4.1 C17 : =S1+F-U2 Travel 2 Right,="4.1",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8002.Digital_Output_C17,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qFU2_Terminal33,Digital output C18,BOOL,-A1_6:4.2 C18 : =S1+F-U2 Travel 2 FC Terminal 33,="4.2",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8002.Digital_Output_C18,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qFU2_Terminal27,Digital output C19,BOOL,-A1_6:4.3 C19 : =S1+F-U2 Travel 2 FC Terminal 27,="4.3",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8002.Digital_Output_C19,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qKU1_Terminal33,Digital output C20,BOOL,-A1_6:4.4 C20 : =S1+K-U1 Trolley FC Terminal 33,="4.4",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8002.Digital_Output_C20,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qTravel2Left,Digital output C21,BOOL,-A1_6:4.5 C21 : =S1+F-U2 Travel 2 Left,="4.5",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8002.Digital_Output_C21,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qFU1_Terminal29,Digital output C22,BOOL,-A1_6:4.6 C22 : =S1+F-U1 Travel 1 FC Terminal 29,="4.6",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8002.Digital_Output_C22,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
qFU2_Terminal29,Digital output C23,BOOL,-A1_6:4.7 C23 : =S1+F-U2 Travel 2 FC Terminal 29,="4.7",S1AA1_6,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8002.Digital_Output_C23,2da5c61d-ec3f-444a-b3fa-9e466f824d54,
//S1AA1_7 (AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1)
,Digital inputs C0 - C7,BYTE,,,S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C0,BOOL,,="2.0",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C0,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C1,BOOL,,="2.1",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C1,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C2,BOOL,,="2.2",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C2,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C3,BOOL,,="2.3",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C3,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C4,BOOL,,="2.4",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C4,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C5,BOOL,,="2.5",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C5,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C6,BOOL,,="2.6",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C6,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C7,BOOL,,="2.7",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_C7,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital inputs C8 - C15,BYTE,,,S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C8,BOOL,,="3.0",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C8,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C9,BOOL,,="3.1",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C9,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C10,BOOL,,="3.2",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C10,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C11,BOOL,,="3.3",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C11,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C12,BOOL,,="3.4",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C12,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C13,BOOL,,="3.5",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C13,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C14,BOOL,,="3.6",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C14,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C15,BOOL,,="3.7",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7001.Digital_Input_C15,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital inputs C16 - C23,BYTE,,,S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C16,BOOL,,="4.0",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C16,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C17,BOOL,,="4.1",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C17,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C18,BOOL,,="4.2",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C18,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C19,BOOL,,="4.3",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C19,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C20,BOOL,,="4.4",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C20,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C21,BOOL,,="4.5",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C21,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C22,BOOL,,="4.6",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C22,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital input C23,BOOL,,="4.7",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7002.Digital_Input_C23,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital outputs C0 - C7,BYTE,,,S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
qFC_TravelIGBT_Release,Digital output C0,BOOL,-A1_7:2.0  C0 : =S1+F-U1 Travel FC IGBT Release,="2.0",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C0,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
qTravel1Left,Digital output C1,BOOL,-A1_7:2.1  C1 : =S1+F-U1 Travel 1 Left,="2.1",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C1,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
qFU1_Terminal27,Digital output C2,BOOL,-A1_7:2.2  C2 : =S1+F-U1 Travel 1 FC Terminal 27,="2.2",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C2,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
qTravel1Right,Digital output C3,BOOL,-A1_7:2.3  C3 : =S1+F-U1 Travel 1 Right,="2.3",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C3,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
qSpare_A1_7_O4,Digital output C4,BOOL,-A1_7:2.4  C4 : =S1+A-X1:VID1 Spare Output Prewired,="2.4",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C4,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
qHoistDown,Digital output C5,BOOL,-A1_7:2.5  C5 : =S1+H-K3 Lower Down,="2.5",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C5,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
qHU1_Terminal33,Digital output C6,BOOL,-A1_7:2.6  C6 : =S1+H-U1 Hoist 1 FC Terminal 33,="2.6",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C6,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
qHU1_Terminal32,Digital output C7,BOOL,-A1_7:2.7  C7 : =S1+H-U1 Hoist 1 FC Terminal 32,="2.7",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_C7,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
,Digital outputs C8 - C15,BYTE,,,S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8001,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
qSpare_A1_7_O8,Digital output C8,BOOL,-A1_7:3.0  C8 : =S1+A-X2:VID2 Spare Output Prewired,="3.0",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8001.Digital_Output_C8,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
qHU1_Terminal27,Digital output C9,BOOL,-A1_7:3.1  C9 : =S1+H-U1 Hoist 1 FC Terminal 27,="3.1",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8001.Digital_Output_C9,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
qSteerRetractRamFL,Digital output C10,BOOL,-A1_7:3.2 C10 : =S1+F-K81 Steering Retract Ram Front Left,="3.2",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8001.Digital_Output_C10,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
qSteerExtendRamFL,Digital output C11,BOOL,-A1_7:3.3 C11 : =S1+F-K81.1 Steering Extend Ram Front Left,="3.3",S1AA1_7,DC523,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8001.Digital_Output_C11,4d4fa8c3-76ac-4e8e-9de2-40436e4b6891,
