sep=,
//Automation Builder IO Mappings Export V1.0
//Important: change only first and fourth column in Excel
*Variable,Channel name,Data type,*Description,Terminal,Device name,Device type,Device path,Parameter ID,Device Guid,
,Digital output DO6,BOOL,,="3.6",S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_DO6,c70dc232-c36c-4d00-919b-62b62cdf01af,
,Digital output DO7,BOOL,,="3.7",S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8000.Digital_Output_DO7,c70dc232-c36c-4d00-919b-62b62cdf01af,
,Fast counter : Actual value 1,DWORD,,,S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7900,c70dc232-c36c-4d00-919b-62b62cdf01af,
,Fast counter : Actual value 2,DWORD,,,S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7901,c70dc232-c36c-4d00-919b-62b62cdf01af,
,Fast counter : State Byte 1,BYTE,,,S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7902,c70dc232-c36c-4d00-919b-62b62cdf01af,
,Fast counter : State Byte 2,BYTE,,,S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7903,c70dc232-c36c-4d00-919b-62b62cdf01af,
,Fast counter : Start value 1,DWORD,,,S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8900,c70dc232-c36c-4d00-919b-62b62cdf01af,
,Fast counter : End value 1,DWORD,,,S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8901,c70dc232-c36c-4d00-919b-62b62cdf01af,
,Fast counter : Start value 2,DWORD,,,S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8902,c70dc232-c36c-4d00-919b-62b62cdf01af,
,Fast counter : End value 2,DWORD,,,S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8903,c70dc232-c36c-4d00-919b-62b62cdf01af,
,Fast counter : Control Byte 1,BYTE,,,S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8904,c70dc232-c36c-4d00-919b-62b62cdf01af,
,Fast counter : Control Byte 2,BYTE,,,S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,8905,c70dc232-c36c-4d00-919b-62b62cdf01af,
//S1AA1_1 (AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1)
,Digital inputs I0 - I31,DWORD,,,S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Typ_DWord,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
,Digital inputs I0 - I15,WORD,,,S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Words.Word0,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
,Digital inputs I16 - I31,WORD,,,S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Words.Word1,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
,Digital inputs I0 - I7,BYTE,,,S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iEStop_1_S1,Digital input I0,BOOL,-A1_1:1.0  I0 : =S1+A-S1 E-Stop 1 S1 (E-House),="1.0",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I0,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iHighVoltageAlarm,Digital input I1,BOOL,-A1_1:1.1  I1 : =S1+A-P1 High Voltage Alarm,="1.1",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I1,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
,Digital input I2,BOOL,,="1.2",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I2,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
